"source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts"
"netsuite;vonderk;2026-07-20 14:19;363093;13609;FC A-00007-00048957;20/07/2026;18/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;1539934.20;317764.20;1222170;.00;1539934.20; "
"netsuite;vonderk;2026-07-20 14:19;363097;3851;FC A-00007-00048958;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;2128087.50;369337.50;1758750;.00;2128087.50; "
"netsuite;vonderk;2026-07-20 14:19;363102;3878;FC A-00007-00048959;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;682500.00;136500.00;546000;.00;682500.00; "
"netsuite;vonderk;2026-07-20 14:19;363108;3868;FC A-00007-00048960;20/07/2026;18/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;893917.65;147202.65;746715;.00;893917.65; "
"netsuite;vonderk;2026-07-20 14:19;363115;13716;FC A-00007-00048961;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1867260.60;300900.60;1566360;.00;1867260.60; "
"netsuite;vonderk;2026-07-20 14:19;363120;13716;FC A-00007-00048962;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;98124.00;9324.00;88800;.00;98124.00; "
"netsuite;vonderk;2026-07-20 14:19;363127;3843;FC A-00007-00048963;20/07/2026;19/08/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;3;PLAZO 30 DIAS;527620.50;91570.50;436050;527620.50;.00; "
"netsuite;vonderk;2026-07-20 14:19;363509;13893;NC E-00009-00000010;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;2;1495.00;3;;-704145.00;.00;-704145;704145.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;363524;13893;FC E-00009-00000067;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;2;1500.00;3;PLAZO 30 DIAS;6670770.00;.00;6670770;.00;6670770.00; "
"netsuite;vonderk;2026-07-20 14:19;363537;3843;NC A-00007-00001846;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;1;1.00;3;;-527620.50;-91570.50;-436050;527620.50;.00; "
"netsuite;vonderk;2026-07-20 14:19;363640;3878;NC A-00007-00001847;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;1;1.00;3;;-217767.31;-43553.46;-174213.85;217767.31;.00; "
"netsuite;vonderk;2026-07-20 14:19;363643;3878;NC A-00007-00001848;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;1;1.00;3;;-196872.81;-39374.56;-157498.25;196872.81;.00; "
"netsuite;vonderk;2026-07-20 14:19;363646;3878;NC A-00007-00001849;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;1;1.00;3;;-84504.88;-16900.98;-67603.9;84504.88;.00; "
"netsuite;vonderk;2026-07-20 14:19;363649;3878;NC A-00007-00001850;20/07/2026;;jul 2026;Nota de crédito;Totalmente aplicada;1;1.00;3;;-68284.12;-13656.82;-54627.3;68284.12;.00; "
"netsuite;vonderk;2026-07-20 14:19;363791;13888;E-FACTURA EXPORTACION A51;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;2;40.245;10;PLAZO 30 DIAS;9995686.49;.00;9995686.48963708463808744;.00;9995686.49; "
"netsuite;vonderk;2026-07-20 14:19;361383;4720;MEX-9900022512;17/07/2026;24/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;361384;13962;MEX-9900022513;17/07/2026;24/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;361385;3640;MEX-9900022514;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;471104.40;;471104.4;.00;471104.40; "
"netsuite;vonderk;2026-07-20 14:19;361386;13943;MEX-9900022515;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;484380.00;;484380;.00;484380.00; "
"netsuite;vonderk;2026-07-20 14:19;361387;3647;MEX-9900022516;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;106593.50;;106593.5;.00;106593.50; "
"netsuite;vonderk;2026-07-20 14:19;361388;3949;MEX-9900022517;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;965770.00;;965770;.00;965770.00; "
"netsuite;vonderk;2026-07-20 14:19;361389;3811;MEX-9900022518;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;624611.00;;624611;.00;624611.00; "
"netsuite;vonderk;2026-07-20 14:19;361390;3776;FC A-00007-00048905;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 7 DIAS;3408061.80;591481.80;2816580;.00;3408061.80; "
"netsuite;vonderk;2026-07-20 14:19;361391;4047;FC A-00007-00048906;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;371250.81;64431.96;306818.85;.00;371250.81; "
"netsuite;vonderk;2026-07-20 14:19;361392;4075;FC A-00007-00048907;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;398873.48;69225.98;329647.5;.00;398873.48; "
"netsuite;vonderk;2026-07-20 14:19;361393;3808;FC A-00007-00048908;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1643603.60;339156.30;1304447.3;.00;1643603.60; "
"netsuite;vonderk;2026-07-20 14:19;361395;3811;FC A-00007-00048909;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;159187.60;27627.60;131560;.00;159187.60; "
"netsuite;vonderk;2026-07-20 14:19;361396;3979;FC A-00007-00048910;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;1583518.58;293483.08;1290035.5;.00;1583518.58; "
"netsuite;vonderk;2026-07-20 14:19;361397;3780;FC A-00007-00048911;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;401239.31;80247.86;320991.45;.00;401239.31; "
"netsuite;vonderk;2026-07-20 14:19;361398;3778;FC A-00007-00048912;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;839091.70;137951.65;701140.05;.00;839091.70; "
"netsuite;vonderk;2026-07-20 14:19;361399;3712;FC A-00007-00048913;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1563288.01;276631.21;1286656.8;.00;1563288.01; "
"netsuite;vonderk;2026-07-20 14:19;361400;3750;FC A-00007-00048914;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1287285.00;223413.10;1063871.9;.00;1287285.00; "
"netsuite;vonderk;2026-07-20 14:19;361401;3750;FC A-00007-00048915;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;265915.65;46150.65;219765;.00;265915.65; "
"netsuite;vonderk;2026-07-20 14:19;361402;3825;FC A-00007-00048916;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;575173.74;99823.54;475350.2;.00;575173.74; "
