"source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost"
"netsuite;vonderk;2026-07-20 14:19;12134;CS-DV-25W-250-700-1CH;Almacén General Mentrau;MENTRAU;Good;14;14;44039.83818182"
"netsuite;vonderk;2026-07-20 14:19;12134;CS-DV-25W-250-700-1CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;44039.83818182"
"netsuite;vonderk;2026-07-20 14:19;12134;CS-DV-25W-250-700-1CH;Showroom Mentrau;MENTRAU;Buen estado PT;12;12;44039.83818182"
"netsuite;vonderk;2026-07-20 14:19;12135;CS-DV-36W-350-1050-2CH;Almacén General Mentrau;MENTRAU;Good;2;2;51125.0775"
"netsuite;vonderk;2026-07-20 14:19;12135;CS-DV-36W-350-1050-2CH;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;51125.0775"
"netsuite;vonderk;2026-07-20 14:19;12135;CS-DV-36W-350-1050-2CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;51125.0775"
"netsuite;vonderk;2026-07-20 14:19;8379;CS-GATEWAY-329L4;Almacén General Mentrau;MENTRAU;Good;40;40;211093.41"
"netsuite;vonderk;2026-07-20 14:19;8379;CS-GATEWAY-329L4;Almacen Mentrau Exento;MENTRAU;Good;1;1;211093.41"
"netsuite;vonderk;2026-07-20 14:19;8379;CS-GATEWAY-329L4;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;211093.41"
"netsuite;vonderk;2026-07-20 14:19;8380;CS-GATEWAY-329Q;Almacén General Mentrau;MENTRAU;Good;1;1;197294.94"
"netsuite;vonderk;2026-07-20 14:19;8380;CS-GATEWAY-329Q;Almacén General Mentrau;MENTRAU;Good;3;3;197294.94"
"netsuite;vonderk;2026-07-20 14:19;8380;CS-GATEWAY-329Q;Almacén General Mentrau;MENTRAU;Good;25;25;197294.94"
"netsuite;vonderk;2026-07-20 14:19;8380;CS-GATEWAY-329Q;Producción Mentrau;MENTRAU;En inspección;1;1;197294.94"
"netsuite;vonderk;2026-07-20 14:19;8380;CS-GATEWAY-329Q;Producción Mentrau;MENTRAU;En inspección;1;1;197294.94"
"netsuite;vonderk;2026-07-20 14:19;8382;CS-MAIN CORTINA;Almacén General Mentrau;MENTRAU;Good;18;18;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8382;CS-MAIN CORTINA;Almacén General Mentrau;MENTRAU;Good;1;1;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8382;CS-MAIN CORTINA;Producción Mentrau;MENTRAU;En inspección;1;1;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8382;CS-MAIN CORTINA;Producción Mentrau;MENTRAU;Buen estado Otros;2;2;130129.41"
