source_system;client_id;snapshot_ts;po_internal_id;po_number;vendor_id;inbound_shipment_number;inbound_shipment_status;item_internal_id;quantity_inbound;expected_shipping_date;actual_shipping_date;expected_delivery_date;actual_delivery_date;available_for_sale_date;location_id
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12531;20;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;11954;48;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;11960;200;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12534;100;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12537;40;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12532;150;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12536;150;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12538;10;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12570;100;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;10020;300;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12571;100;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287754;ME-202;9866;INBSHIP193;En tránsito;8542;360;23/4/2026;;5/6/2026;;2/7/2026;
netsuite;vonderk;2026-06-08 15:41;287754;ME-202;9866;INBSHIP193;En tránsito;8537;200;23/4/2026;;5/6/2026;;2/7/2026;
netsuite;vonderk;2026-06-08 15:41;287754;ME-202;9866;INBSHIP193;En tránsito;8536;600;23/4/2026;;5/6/2026;;2/7/2026;
netsuite;vonderk;2026-06-08 15:41;287754;ME-202;9866;INBSHIP193;En tránsito;8531;450;23/4/2026;;5/6/2026;;2/7/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9952;300;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10383;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;4400;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9936;90;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;12090;30;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9947;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;12483;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;12368;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10063;450;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10056;500;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10054;250;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10055;300;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10027;120;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10000;150;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10008;450;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10012;360;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;6759;1000;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9690;300;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;12259;100;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;12346;100;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10065;90;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9973;120;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10077;500;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10078;250;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;10076;350;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;287443;ME-201;9866;INBSHIP192;En tránsito;9955;300;30/5/2026;;10/7/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;286241;ME-200;8444;INBSHIP191;En tránsito;9721;3000;5/4/2026;;7/6/2026;;4/7/2026;
netsuite;vonderk;2026-06-08 15:41;286241;ME-200;8444;INBSHIP191;En tránsito;9720;6000;5/4/2026;;7/6/2026;;4/7/2026;
netsuite;vonderk;2026-06-08 15:41;286241;ME-200;8444;INBSHIP191;En tránsito;9726;1500;5/4/2026;;7/6/2026;;4/7/2026;
netsuite;vonderk;2026-06-08 15:41;280664;ME-194;8444;INBSHIP185;En tránsito;9697;180;11/5/2026;;27/6/2026;;24/7/2026;
